system,benchmark,task_id,repeat,passed,prompt_tokens,completion_tokens,total_tokens,latency_seconds,eval_error
harmonet_v2,mbpp,mbpp_14,2,True,70,126,196,1.9758,
harmonet_v2,mbpp,mbpp_14,3,True,70,130,200,2.3413,
harmonet_v2,mbpp,mbpp_16,1,True,76,65,141,1.8195,
harmonet_v2,mbpp,mbpp_16,2,True,76,140,216,1.858,
harmonet_v2,mbpp,mbpp_16,3,True,76,80,156,1.5725,
harmonet_v2,mbpp,mbpp_17,1,True,67,59,126,1.559,
harmonet_v2,mbpp,mbpp_17,2,True,67,59,126,1.8063,
harmonet_v2,mbpp,mbpp_17,3,True,67,59,126,1.4563,
harmonet_v2,mbpp,mbpp_18,1,True,80,130,210,2.155,
harmonet_v2,mbpp,mbpp_18,2,True,80,130,210,1.9948,
harmonet_v2,mbpp,mbpp_18,3,True,80,127,207,2.082,
harmonet_v2,mbpp,mbpp_19,1,True,67,66,133,1.8074,
harmonet_v2,mbpp,mbpp_19,2,True,67,66,133,1.7593,
harmonet_v2,mbpp,mbpp_19,3,True,67,59,126,2.938,
harmonet_v2,mbpp,mbpp_20,1,True,71,351,422,3.8495,
harmonet_v2,mbpp,mbpp_20,2,True,71,406,477,4.0806,
harmonet_v2,mbpp,mbpp_20,3,True,71,391,462,4.0684,
harmonet_v2,mbpp,mbpp_56,1,True,76,231,307,3.8517,
harmonet_v2,mbpp,mbpp_56,2,True,76,206,282,2.3526,
harmonet_v2,mbpp,mbpp_56,3,True,76,198,274,2.7041,
harmonet_v2,mbpp,mbpp_57,1,True,79,105,184,1.8491,
harmonet_v2,mbpp,mbpp_57,2,True,79,105,184,2.0043,
harmonet_v2,mbpp,mbpp_57,3,True,79,105,184,1.903,
harmonet_v2,mbpp,mbpp_58,1,True,75,93,168,1.5669,
harmonet_v2,mbpp,mbpp_58,2,True,75,93,168,2.8191,
harmonet_v2,mbpp,mbpp_58,3,True,75,93,168,1.9587,
harmonet_v2,mbpp,mbpp_59,1,True,66,87,153,2.8246,
harmonet_v2,mbpp,mbpp_59,2,True,66,87,153,1.9463,
harmonet_v2,mbpp,mbpp_59,3,True,66,87,153,2.1201,
harmonet_v2,mbpp,mbpp_61,1,True,79,226,305,3.1334,
harmonet_v2,mbpp,mbpp_61,2,True,79,244,323,3.9315,
harmonet_v2,mbpp,mbpp_61,3,True,79,213,292,2.9209,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/0,1,True,1027,945,1972,8.7754,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/0,2,True,1020,862,1882,8.6716,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/0,3,True,1020,972,1992,8.8698,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/1,1,True,1167,1372,2539,12.0528,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/1,2,True,1163,1262,2425,9.6762,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/1,3,True,1167,1345,2512,9.7862,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/2,1,True,661,704,1365,7.4306,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/2,2,True,661,628,1289,7.7235,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/2,3,True,661,749,1410,7.8082,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/3,1,True,931,699,1630,13.0689,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/3,2,True,932,854,1786,8.338,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/3,3,True,881,808,1689,16.7018,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/4,1,True,891,770,1661,7.6749,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/4,2,True,891,782,1673,10.6155,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/4,3,True,891,829,1720,7.4459,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/5,1,True,836,778,1614,8.6013,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/5,2,True,836,753,1589,6.9189,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/5,3,True,836,796,1632,8.1288,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/6,1,True,1086,1129,2215,9.3594,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/6,2,True,1086,1243,2329,8.9156,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/6,3,True,1086,1176,2262,10.172,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/7,1,True,813,778,1591,8.1796,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/7,2,True,766,598,1364,6.8684,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/7,3,True,766,596,1362,8.6277,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/8,1,True,947,1010,1957,8.6327,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/8,2,True,947,1095,2042,9.6635,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/8,3,True,947,1061,2008,9.3704,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/9,1,True,930,905,1835,8.3677,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/9,2,True,930,879,1809,7.7654,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/9,3,True,938,1017,1955,9.0507,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/10,1,True,1207,1263,2470,10.2524,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/10,2,True,1207,1367,2574,10.9231,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/10,3,True,1207,1345,2552,10.8125,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/11,1,True,676,718,1394,7.9276,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/11,2,True,676,711,1387,8.4968,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/11,3,True,676,736,1412,8.3766,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/12,1,True,871,863,1734,8.4193,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/12,2,True,870,623,1493,7.715,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/12,3,True,872,803,1675,8.098,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/13,1,True,619,726,1345,7.6606,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/13,2,True,619,557,1176,6.6488,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/13,3,True,619,639,1258,10.7182,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/14,1,True,569,538,1107,9.4615,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/14,2,True,569,567,1136,7.0426,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/14,3,True,569,623,1192,7.0852,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/15,1,True,625,691,1316,7.779,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/15,2,True,625,722,1347,12.1358,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/15,3,True,625,487,1112,6.4098,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/16,1,False,585,586,1171,7.8446,"  File ""/tmp/harmonet_ext_g1_68sp8h8l/candidate_test.py"", line 41, in <module>
    check(count_distinct_characters)
  File ""/tmp/harmonet_ext_g1_68sp8h8l/candidate_test.py"", line 38, in check
    assert candidate('Jerry jERRY JeRRRY') == 5
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError"
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/16,2,False,585,581,1166,7.4706,"  File ""/tmp/harmonet_ext_g1_7v1auvu6/candidate_test.py"", line 41, in <module>
    check(count_distinct_characters)
  File ""/tmp/harmonet_ext_g1_7v1auvu6/candidate_test.py"", line 38, in check
    assert candidate('Jerry jERRY JeRRRY') == 5
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError"
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/16,3,False,585,596,1181,7.2269,"  File ""/tmp/harmonet_ext_g1_ndp5903h/candidate_test.py"", line 41, in <module>
    check(count_distinct_characters)
  File ""/tmp/harmonet_ext_g1_ndp5903h/candidate_test.py"", line 38, in check
    assert candidate('Jerry jERRY JeRRRY') == 5
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError"
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/17,1,True,1225,1140,2365,10.0075,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/17,2,True,1225,1031,2256,8.9822,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/17,3,True,1225,1010,2235,8.5432,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/18,1,True,848,873,1721,9.0142,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/18,2,True,848,858,1706,7.6818,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/18,3,True,848,846,1694,8.1243,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/19,1,True,1138,1242,2380,11.4212,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/19,2,True,1134,1136,2270,9.2795,
langraph_runyourai_anthropic_claude_haiku_4_5,humaneval,HumanEval/19,3,True,1187,1381,2568,11.2052,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_2,1,True,856,661,1517,7.5712,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_2,2,False,957,819,1776,7.8319,"    assert set((3, 4, 5, 6),(5, 7, 4, 10)) == (4, 5) or set((3, 4, 5, 6),(5, 7, 4, 10)) == (5, 4)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/tmp/harmonet_ext_g1_h8trbvli/candidate_test.py"", line 24, in set
    return tuple(__builtins__['set'](list1) & __builtins__['set'](list2))
                 ~~~~~~~~~~~~^^^^^^^
TypeError: 'module' object is not subscriptable"
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_2,3,True,1078,1004,2082,11.0799,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_3,1,True,697,808,1505,7.8536,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_3,2,True,699,817,1516,11.7007,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_3,3,True,701,749,1450,8.0725,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_4,1,True,953,766,1719,8.4361,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_4,2,True,953,733,1686,7.9767,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_4,3,True,953,785,1738,9.0513,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_6,1,True,1092,1175,2267,9.865,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_6,2,True,1119,1227,2346,14.5579,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_6,3,True,1118,1198,2316,9.528,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_7,1,False,861,817,1678,9.0771,"Traceback (most recent call last):
  File ""/tmp/harmonet_ext_g1_8l9c_p33/candidate_test.py"", line 14, in <module>
    assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])
               ^^^^^^^^^^^^^^
NameError: name 'find_char_long' is not defined"
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_7,2,True,861,528,1389,7.7824,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_7,3,True,861,626,1487,7.5728,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_8,1,True,804,914,1718,11.3866,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_8,2,True,754,519,1273,7.1511,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_8,3,True,754,568,1322,6.6384,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_9,1,True,1113,1370,2483,12.0722,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_9,2,True,1164,1310,2474,12.3757,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_9,3,True,1055,1395,2450,11.8635,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_11,1,True,917,845,1762,7.9459,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_11,2,True,961,1203,2164,9.6396,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_11,3,True,917,857,1774,8.4553,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_12,1,True,1151,1175,2326,9.968,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_12,2,True,1286,1069,2355,9.5847,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_12,3,True,1201,1169,2370,9.1936,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_14,1,True,815,1069,1884,10.0091,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_14,2,True,746,856,1602,8.5105,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_14,3,True,735,846,1581,8.5672,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_16,1,True,908,948,1856,8.9694,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_16,2,True,906,906,1812,8.8154,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_16,3,True,908,1133,2041,9.9167,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_17,1,True,568,625,1193,7.6962,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_17,2,True,556,611,1167,7.1331,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_17,3,True,556,589,1145,7.7452,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_18,1,True,807,1010,1817,8.2292,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_18,2,True,807,855,1662,8.2809,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_18,3,True,888,1014,1902,8.1744,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_19,1,True,683,618,1301,10.0597,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_19,2,True,678,612,1290,7.8214,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_19,3,True,681,647,1328,10.7143,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_20,1,True,1055,1198,2253,10.0702,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_20,2,True,1085,1378,2463,12.3148,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_20,3,True,1063,1242,2305,11.2822,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_56,1,True,848,1079,1927,9.1995,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_56,2,True,881,1058,1939,9.8576,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_56,3,True,811,1041,1852,8.8597,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_57,1,True,826,1024,1850,9.7392,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_57,2,True,824,1068,1892,10.7495,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_57,3,True,824,792,1616,8.0491,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_58,1,True,646,759,1405,7.9976,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_58,2,True,642,725,1367,7.8977,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_58,3,True,700,777,1477,8.6443,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_59,1,True,801,1052,1853,10.0117,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_59,2,True,801,1116,1917,9.6332,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_59,3,True,716,846,1562,8.4312,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_61,1,True,973,1384,2357,10.6676,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_61,2,True,1015,1343,2358,10.1193,
langraph_runyourai_anthropic_claude_haiku_4_5,mbpp,mbpp_61,3,True,1004,1451,2455,10.9589,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/0,1,True,531,266,797,6.719,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/0,2,True,531,266,797,5.0642,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/0,3,True,531,266,797,5.0427,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/1,1,True,906,531,1437,6.3975,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/1,2,True,906,531,1437,7.4555,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/1,3,True,898,523,1421,7.1924,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/2,1,True,457,196,653,6.154,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/2,2,True,457,196,653,5.527,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/2,3,True,457,196,653,5.9086,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/3,1,True,699,344,1043,4.8595,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/3,2,True,699,344,1043,5.365,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/3,3,True,699,344,1043,4.6489,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/4,1,True,617,297,914,4.7546,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/4,2,True,617,297,914,5.477,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/4,3,True,617,297,914,5.1742,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/5,1,True,492,250,742,5.8189,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/5,2,True,492,250,742,5.6451,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/5,3,True,492,250,742,5.7571,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/6,1,True,726,403,1129,6.4207,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/6,2,True,726,403,1129,8.3673,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/6,3,True,726,403,1129,5.7413,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/7,1,True,434,196,630,4.8411,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/7,2,True,434,196,630,4.9742,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/7,3,True,434,196,630,5.258,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/8,1,True,637,309,946,6.579,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/8,2,True,637,309,946,5.6136,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/8,3,True,637,309,946,5.2318,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/9,1,True,543,274,817,5.1871,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/9,2,True,543,274,817,6.5198,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/9,3,True,543,274,817,5.5996,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/10,1,True,890,496,1386,6.3388,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/10,2,True,890,496,1386,7.1042,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/10,3,True,894,500,1394,6.0189,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/11,1,True,465,211,676,5.165,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/11,2,True,465,211,676,5.2846,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/11,3,True,465,211,676,4.3738,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/12,1,True,551,250,801,5.4366,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/12,2,True,551,250,801,4.8464,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/12,3,True,551,250,801,4.4646,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/13,1,True,352,163,515,4.2299,
autogen_anthropic_claude_haiku_4_5,humaneval,HumanEval/13,2,True,352,163,515,4.372,
