task_id,entry_point,base_pass,plus_only_pass,both_pass,outcome,visible_outcome,n_base,n_plus_only,n_dup_removed,prompt_tokens,completion_tokens,token_source,cost_usd,wall_ms,extraction,hidden_exposed,trace_path,candidate_code
Mbpp/235,even_bit_set_number,False,False,False,fail,fail,3,101,1,122,713,measured,,7517,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_235.json,"def even_bit_set_number(n):
    """"""
    Set all even bits of a given number.
    Even bits are at positions 0, 2, 4, 6, ... (0-indexed from right)
    """"""
    # Create a mask with all even bits set
    # For a 32-bit number, even bits are at positions 0, 2, 4, ..., 30
    # This creates the pattern: 0101010101...0101 in binary
    mask = 0x55555555  # For 32-bit: 01010101010101010101010101010101
    
    # Set all even bits using bitwise OR
    return n | mask"
Mbpp/250,count_X,True,True,True,pass,pass,3,112,0,161,28,measured,,728,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_250.json,"def count_X(tup, element):
    return tup.count(element)"
Mbpp/257,swap_numbers,True,True,True,pass,pass,3,109,0,126,25,measured,,730,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_257.json,"def swap_numbers(a, b):
    return (b, a)"
Mbpp/268,find_star_num,True,True,True,pass,pass,3,103,0,116,71,measured,,1148,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_268.json,"def find_star_num(n):
    """"""
    Find the n'th star number.
    Star numbers follow the formula: 6*n*(n-1) + 1
    """"""
    return 6 * n * (n - 1) + 1"
Mbpp/269,ascii_value,True,True,True,pass,pass,3,79,3,111,22,measured,,714,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_269.json,"def ascii_value(char):
    return ord(char)"
Mbpp/271,even_Power_Sum,True,True,True,pass,pass,3,105,2,134,145,measured,,1280,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_271.json,"def even_Power_Sum(n):
    """"""
    Finds the sum of the first n even natural numbers raised to the fifth power.
    
    Args:
        n: An integer representing how many even natural numbers to sum
        
    Returns:
        The sum of (2^5 + 4^5 + 6^5 + ... + (2n)^5)
    """"""
    total = 0
    for i in range(1, n + 1):
        even_num = 2 * i
        total += even_num ** 5
    return total"
Mbpp/274,even_binomial_Coeff_Sum,True,True,True,pass,pass,3,100,3,137,304,measured,,3077,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_274.json,"def even_binomial_Coeff_Sum(n):
    """"""
    Calculate the sum of binomial coefficients with even indices.
    For a given n, this computes C(n,0) + C(n,2) + C(n,4) + ...
    
    Using the binomial theorem:
    (1 + x)^n = C(n,0) + C(n,1)*x + C(n,2)*x^2 + ... + C(n,n)*x^n
    
    Setting x = 1: 2^n = C(n,0) + C(n,1) + C(n,2) + ... + C(n,n)
    Setting x = -1: 0 = C(n,0) - C(n,1) + C(n,2) - ... + (-1)^n*C(n,n)
    
    Adding these two equations:
    2^n + 0 = 2*(C(n,0) + C(n,2) + C(n,4) + ...)
    
    Therefore: sum of even index binomial coefficients = 2^(n-1)
    """"""
    return 2 ** (n - 1)"
Mbpp/282,sub_list,True,True,True,pass,pass,3,104,0,128,39,measured,,961,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_282.json,"def sub_list(list1, list2):
    return [a - b for a, b in zip(list1, list2)]"
Mbpp/297,flatten_list,True,True,True,pass,pass,3,117,0,184,68,measured,,1086,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_297.json,"def flatten_list(nested_list):
    result = []
    for item in nested_list:
        if isinstance(item, list):
            result.extend(flatten_list(item))
        else:
            result.append(item)
    return result"
Mbpp/299,max_aggregate,True,True,True,pass,pass,3,105,0,164,170,measured,,1974,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_299.json,"def max_aggregate(tuples_list):
    """"""
    Calculate the maximum aggregate from the list of tuples.
    
    Args:
        tuples_list: List of tuples where each tuple contains (name, value)
    
    Returns:
        Tuple of (name, total_aggregate) with the maximum aggregate
    """"""
    aggregates = {}
    
    for name, value in tuples_list:
        if name in aggregates:
            aggregates[name] += value
        else:
            aggregates[name] = value
    
    max_name = max(aggregates, key=aggregates.get)
    return (max_name, aggregates[max_name])"
Mbpp/404,minimum,True,True,True,pass,pass,3,123,0,110,25,measured,,763,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_404.json,"def minimum(a, b):
    return a if a < b else b"
Mbpp/409,min_product_tuple,True,True,True,pass,pass,3,111,0,145,100,measured,,1193,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_409.json,"def min_product_tuple(tuples_list):
    """"""
    Find the minimum product from the pairs of tuples within a given list.
    
    Args:
        tuples_list: A list of tuples, each containing two numbers
        
    Returns:
        The minimum product of elements within any tuple
    """"""
    return min(a * b for a, b in tuples_list)"
Mbpp/418,Find_Max,True,True,True,pass,pass,3,110,0,134,26,measured,,857,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_418.json,"def Find_Max(lst):
    return max(lst, key=len)"
Mbpp/421,concatenate_tuple,True,True,True,pass,pass,3,112,0,137,36,measured,,962,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_421.json,"def concatenate_tuple(t, delimiter='-'):
    return delimiter.join(str(element) for element in t)"
Mbpp/429,and_tuples,True,True,True,pass,pass,3,113,0,151,41,measured,,1082,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_429.json,"def and_tuples(tuple1, tuple2):
    return tuple(a & b for a, b in zip(tuple1, tuple2))"
Mbpp/430,parabola_directrix,False,False,False,fail,fail,3,102,0,123,264,measured,,2636,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_430.json,"def parabola_directrix(a, b, c):
    """"""
    Find the directrix of a parabola given coefficients a, b, c
    where the parabola is y = ax^2 + bx + c
    
    The vertex form of a parabola is y = a(x - h)^2 + k
    where (h, k) is the vertex.
    
    For a parabola y = ax^2 + bx + c:
    - h = -b / (2a)
    - k = c - b^2 / (4a)
    
    The directrix is a horizontal line y = k - 1/(4a)
    where the focus is at (h, k + 1/(4a))
    
    The directrix value is: c - b^2/(4a) - 1/(4a) = c - (b^2 + 1)/(4a)
    """"""
    directrix = c - (b * b + 1) / (4 * a)
    return int(directrix)"
Mbpp/435,last_Digit,True,True,True,pass,pass,3,102,1,116,26,measured,,789,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_435.json,"def last_Digit(n):
    return abs(n) % 10"
Mbpp/441,surfacearea_cube,True,True,True,pass,pass,3,121,0,118,79,measured,,914,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_441.json,"def surfacearea_cube(size):
    """"""
    Find the surface area of a cube given its side length.
    
    A cube has 6 faces, each with area size^2.
    Total surface area = 6 * size^2
    """"""
    return 6 * size * size"
Mbpp/445,index_multiplication,True,True,True,pass,pass,3,107,0,187,132,measured,,1871,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_445.json,"def index_multiplication(tuple1, tuple2):
    """"""
    Perform index wise multiplication of tuple elements in the given two tuples.
    
    Args:
        tuple1: A tuple of tuples
        tuple2: A tuple of tuples
    
    Returns:
        A tuple of tuples with element-wise multiplication
    """"""
    return tuple(
        tuple(a * b for a, b in zip(t1, t2))
        for t1, t2 in zip(tuple1, tuple2)
    )"
Mbpp/454,text_match_wordz,True,True,True,pass,pass,3,103,0,119,42,measured,,1018,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_454.json,"def text_match_wordz(text):
    import re
    return bool(re.search(r'\w*z\w*', text))"
Mbpp/458,rectangle_area,True,True,True,pass,pass,3,103,0,111,23,measured,,838,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_458.json,"def rectangle_area(length, width):
    return length * width"
Mbpp/460,Extract,True,True,True,pass,pass,3,120,0,142,28,measured,,761,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_460.json,"def Extract(lst):
    return [sublist[0] for sublist in lst]"
Mbpp/474,replace_char,True,True,True,pass,pass,3,104,0,118,42,measured,,1079,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_474.json,"def replace_char(string, char_to_replace, replacement_char):
    return string.replace(char_to_replace, replacement_char)"
Mbpp/475,sort_counter,True,True,True,pass,pass,3,111,0,141,37,measured,,756,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_475.json,"def sort_counter(d):
    return sorted(d.items(), key=lambda x: x[1], reverse=True)"
Mbpp/554,Split,True,True,True,pass,pass,3,104,0,128,32,measured,,702,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_554.json,"def Split(numbers):
    return [num for num in numbers if num % 2 != 0]"
Mbpp/564,count_Pairs,True,True,True,pass,pass,3,109,0,136,133,measured,,1754,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_564.json,"def count_Pairs(arr, n):
    """"""
    Count the number of unordered pairs where both elements are unequal.
    
    Args:
        arr: list of integers
        n: length of the list
    
    Returns:
        Number of unordered pairs with unequal elements
    """"""
    count = 0
    for i in range(n):
        for j in range(i + 1, n):
            if arr[i] != arr[j]:
                count += 1
    return count"
Mbpp/568,empty_list,True,True,True,pass,pass,3,98,3,118,27,measured,,659,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_568.json,"def empty_list(n):
    return [{} for _ in range(n)]"
Mbpp/578,interleave_lists,True,True,True,pass,pass,3,110,0,226,65,measured,,1165,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_578.json,"def interleave_lists(list1, list2, list3):
    result = []
    for a, b, c in zip(list1, list2, list3):
        result.extend([a, b, c])
    return result"
Mbpp/589,perfect_squares,True,False,False,fail,pass,3,103,0,126,69,measured,,936,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_589.json,"def perfect_squares(start, end):
    result = []
    i = 1
    while i * i <= end:
        square = i * i
        if square >= start:
            result.append(square)
        i += 1
    return result"
Mbpp/591,swap_List,True,True,True,pass,pass,3,105,0,140,53,measured,,1102,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_591.json,"def swap_List(lst):
    if len(lst) <= 1:
        return lst
    lst[0], lst[-1] = lst[-1], lst[0]
    return lst"
Mbpp/605,prime_num,True,True,True,pass,pass,3,105,0,112,97,measured,,1387,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_605.json,"def prime_num(n):
    if n < 2:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2):
        if n % i == 0:
            return False
    return True"
Mbpp/611,max_of_nth,True,True,True,pass,pass,3,101,0,154,33,measured,,1072,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_611.json,"def max_of_nth(matrix, n):
    return max(row[n] for row in matrix)"
Mbpp/612,merge,True,True,True,pass,pass,3,104,0,183,60,measured,,1095,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_612.json,"def merge(list_of_lists):
    return [
        [sublist[0] for sublist in list_of_lists],
        [sublist[1] for sublist in list_of_lists]
    ]"
Mbpp/616,tuple_modulo,True,True,True,pass,pass,3,105,0,153,41,measured,,966,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_616.json,"def tuple_modulo(tuple1, tuple2):
    return tuple(a % b for a, b in zip(tuple1, tuple2))"
Mbpp/626,triangle_area,True,True,True,pass,pass,3,103,2,126,207,measured,,2181,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_626.json,"def triangle_area(radius):
    """"""
    Find the area of the largest triangle that can be inscribed in a semicircle.
    
    The largest triangle inscribed in a semicircle has its base as the diameter
    and its height as the radius. This forms a right triangle with base = 2*radius
    and height = radius.
    
    Area = (1/2) * base * height = (1/2) * 2*radius * radius = radius^2
    """"""
    if radius < 0:
        return None
    
    # The largest triangle inscribed in a semicircle has:
    # - Base = diameter = 2 * radius
    # - Height = radius
    # Area = (1/2) * base * height = (1/2) * 2*radius * radius = radius^2
    return radius * radius"
Mbpp/628,replace_spaces,True,True,True,pass,pass,3,117,0,133,26,measured,,853,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_628.json,"def replace_spaces(s):
    return s.replace(' ', '%20')"
Mbpp/637,noprofit_noloss,True,True,True,pass,pass,3,103,0,125,111,measured,,1486,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_637.json,"def noprofit_noloss(cost_price, selling_price):
    """"""
    Check whether the given amount has no profit and no loss.
    
    Args:
        cost_price: The cost price of the item
        selling_price: The selling price of the item
    
    Returns:
        True if cost_price equals selling_price (no profit, no loss), False otherwise
    """"""
    return cost_price == selling_price"
Mbpp/639,sample_nam,True,False,False,fail,pass,3,111,0,148,91,measured,,1385,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_639.json,"def sample_nam(names):
    """"""
    Sum the length of names that start with an uppercase letter.
    
    Args:
        names: A list of names
        
    Returns:
        The sum of lengths of names starting with uppercase letters
    """"""
    return sum(len(name) for name in names if name and name[0].isupper())"
Mbpp/722,filter_data,True,True,True,pass,pass,3,109,0,236,63,measured,,1153,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_722.json,"def filter_data(students, min_height, min_weight):
    return {name: (height, weight) for name, (height, weight) in students.items() 
            if height >= min_height and weight >= min_weight}"
Mbpp/736,left_insertion,True,True,True,pass,pass,3,104,0,124,108,measured,,1176,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_736.json,"import bisect

def left_insertion(sorted_list, value):
    """"""
    Locate the left insertion point for a specified value in sorted order.
    
    Args:
        sorted_list: A sorted list
        value: The value to find the insertion point for
    
    Returns:
        The index where value should be inserted to maintain sorted order
    """"""
    return bisect.bisect_left(sorted_list, value)"
Mbpp/750,add_tuple,True,True,True,pass,pass,3,102,0,138,28,measured,,798,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_750.json,"def add_tuple(lst, tpl):
    return lst + list(tpl)"
Mbpp/764,number_ctr,True,True,True,pass,pass,4,104,1,119,34,measured,,886,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_764.json,"def number_ctr(s):
    return sum(1 for c in s if c.isdigit())"
Mbpp/772,remove_length,True,True,True,pass,pass,3,106,0,130,56,measured,,824,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_772.json,"def remove_length(string, k):
    words = string.split()
    filtered_words = [word for word in words if len(word) != k]
    return ' '.join(filtered_words)"
Mbpp/773,occurance_substring,False,False,False,fail,fail,4,101,0,141,118,measured,,1483,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_773.json,"def occurance_substring(string, substring):
    """"""
    Find the occurrence and position of the substrings within a string.
    Returns a tuple of (substring, first_position, last_position) or None if no match.
    """"""
    if substring not in string:
        return None
    
    first_pos = string.find(substring)
    last_pos = string.rfind(substring)
    
    return (substring, first_pos, last_pos)"
Mbpp/796,return_sum,True,True,True,pass,pass,3,103,0,129,24,measured,,729,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_796.json,"def return_sum(d):
    return sum(d.values())"
Mbpp/807,first_odd,True,True,True,pass,pass,3,105,0,121,42,measured,,841,fenced,False,evidence\traces\pool_probe_mbppplus\single\Mbpp_807.json,"def first_odd(numbers):
    for num in numbers:
        if num % 2 != 0:
            return num
    return None"
